id;nik;nama;alamat;rt;rw;jenis_kelamin;created_at;updated_at
2208;2110631250013;Ilham Yudiatmoko;Kp. Era Caffe 3;002;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2209;2110631250014;Anjar Fatikha;Kp. Era Caffe 4;004;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2210;2110631250015;Van Whistlecroft;7 Merchant Avenue;008;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2211;2110631250016;Harbert Licas;21 Daystar Park;006;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2212;2110631250017;Cash Anear;34 Ridgeview Point;008;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2213;2110631250018;Ly Tosney;77096 Russell Court;007;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2214;2110631250019;Sadella Dougliss;7042 Anzinger Road;006;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2215;2110631250020;Becki Thyer;682 Schlimgen Road;001;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2216;2110631250021;Ephrayim Gurnell;8841 Jackson Plaza;009;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2217;2110631250022;Sela Belly;2242 Thackeray Plaza;005;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2218;2110631250023;Patrizio Strothers;54 Kensington Point;007;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2219;2110631250024;Mil Constantine;925 Dawn Terrace;007;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2220;2110631250025;Edvard Strivens;9 Katie Junction;003;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2221;2110631250026;Rasia Youson;97 Melrose Center;001;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2222;2110631250027;Feliza Dealey;8021 Bonner Alley;006;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2223;2110631250028;Margarita Gabitis;12 Lakewood Gardens Crossing;005;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2224;2110631250029;Ailee Beccles;87326 Muir Junction;005;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2225;2110631250030;Laure Shemilt;3 Thompson Point;002;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2226;2110631250031;Orlan Docharty;815 Moose Parkway;006;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2227;2110631250032;Liana Cattach;2177 Anzinger Park;007;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2228;2110631250033;Karney Stiggles;1199 Reinke Pass;004;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2229;2110631250034;Mackenzie Bichener;5989 Pleasure Hill;006;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2230;2110631250035;Michail Reolfo;887 Dryden Alley;005;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2231;2110631250036;Lisa Braunston;20 Eggendart Hill;010;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2232;2110631250037;Nanine Cardno;3 Emmet Terrace;010;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2233;2110631250038;Raychel Trenholme;731 Sunbrook Terrace;002;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2234;2110631250039;Bart Rubin;7304 Shelley Road;002;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2235;2110631250040;Gregg Burrage;0071 Eggendart Alley;005;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2236;2110631250041;Frieda Scamwell;1257 Nobel Crossing;010;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2237;2110631250042;Jacintha Kynaston;1589 Debra Terrace;004;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2238;2110631250043;Dorene Hartle;18470 Union Crossing;010;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2239;2110631250044;Armin McGeaney;Kp. Era Caffe 3;005;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2240;2110631250045;Sibbie Titley;Kp. Era Caffe 4;005;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2241;2110631250046;Lesley Litzmann;7 Merchant Avenue;005;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2242;2110631250047;Faulkner Cawley;21 Daystar Park;008;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2243;2110631250048;Gusella Acors;34 Ridgeview Point;008;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2244;2110631250049;Bord Chowne;77096 Russell Court;009;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
